,Codigo_da_oportunidade,Classificacao_da_Oportunidade,Data_de_criacao,Faixa_de_Faturamento_Agregado,Data_Real_de_Encerramento_da_Opp2,id_fechou,numero_relacionamentos,numero_relacionamentos_convertidos,intervalo_tempo,ano,Valor_corrigido2,Forma_de_Contratacao_Agregado,Concorrentes,n_solucoes,Software,Comissão sobre Parceiros,Cybersecurity,Desdobramento de metas,ESG,Equilíbrio fiscal,Skill_dev,Gestão Estratégica,Gestão da Educação,Gestão da Operação,Gestão da Receita,Gestão da Saúde,Gestão da Segurança Pública,Gestão da Segurança Viária,Gestão de Gastos,Gestão de operações projetizadas,Gestão de pessoas,Processes Excellence,Produtos digitais,S_amp_OP_S_amp_OE,Transformação Digital,Treinamentos,Roadmap,Segmentacao,Carteira_Nova,Segmento_Agregado2,Total_HH,Custo_Total,Margem_Total,ID_cliente
1,10054,0,2019-10-11,1,2019-10-29,1,1,0,0,2019,503.536.326.980.052,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,115,151368.42,5.675.188,826
2,10004,1,2019-10-09,3,2019-10-31,1,2,1,02.03,2019,61.863.034.246.064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,205,183543.74,573.154.093.023.256,225
3,10063,2,2019-10-16,5,2019-11-04,0,8,5,6.27,2019,270.028.860.632.424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,472,725715,615.311.423.270.607,849
4,10138,0,2019-10-29,1,2019-11-06,1,1,0,0,2019,458.039.891.578.703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,24540.16,23.312,282
5,10074,2,2019-10-16,5,2019-11-13,1,6,5,4.37,2019,44.243.313.662.266,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,691,1639159.66,54.526.213.963.579,297
6,10233,2,2019-11-21,5,2019-11-22,1,5,4,5,2019,644.646.671.802.573,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,5,2219.5,2168393.27,518.529.503.094.416,252
7,10025,2,2019-10-10,2,2019-11-25,1,4,3,1.97,2019,372.157.454.253.131,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,625,1012476.35,610.586.019.230.769,56
8,10089,2,2019-10-19,4,2019-11-26,0,6,3,6.43,2019,709.961.912.955.648,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,292,3202932,354.247.580.645.161,261
9,10085,1,2019-10-17,5,2019-11-29,1,3,2,9.87,2019,104.329.332.517.073,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,5,339,390817.29,463.807.525.295.833,727
10,10146,2,2019-10-30,4,2019-11-29,1,2,1,16.4,2019,490.961.564.786.226,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,83,142495.43,584.561.428.571.429,564
11,10174,1,2019-11-06,1,2019-11-29,1,4,1,10.07,2019,551.079.292.884.656,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,109,143967.78,626.057.704.572.927,692
12,10116,0,2019-10-23,4,2019-12-04,0,7,2,02.03,2019,591.479.215.545.971,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1090,1536369.43,632.447.504.784.689,187
13,10173,0,2019-11-05,0,2019-12-04,1,1,0,0,2019,424.707.015.647.761,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,148,214035.51,286.845.447.730.112,557
14,10107,1,2019-10-23,3,2019-12-11,0,2,0,11.5,2019,404.532.828.107.081,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,7,756,895076.77,686.892.278.336.167,441
15,10070,0,2019-10-16,2,2019-12-12,0,1,0,0,2019,551.889.171.829.331,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,131,162226,584.035.897.435.897,404
16,10117,0,2019-10-24,2,2019-12-12,0,1,0,0,2019,184.670.605.816.578,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,409,501522.08,615.691.892.720.307,183
17,10142,2,2019-10-29,4,2019-12-16,1,1,0,0,2019,849.899.410.741.976,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,160,272405.73,582.319.672.305.089,569
18,10286,2,2019-12-03,5,2019-12-17,0,12,4,0.5,2019,958.624.406.747.803,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,169,376908.4,443.616.046.056.759,266
19,10325,0,2019-12-17,5,2019-12-17,1,2,0,11.7,2019,91.629.155.294.582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,171,265055.22,623.037.637.012.916,728
20,10181,0,2019-11-07,2,2019-12-19,0,1,0,0,2019,650.946.198.003.383,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,106,162287,647.202.173.913.043,415
21,10259,1,2019-11-27,4,2019-12-19,0,3,2,6.73,2019,33.248.492.082.139,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,9,570,1235733,474.055.457.428.018,608
22,10140,1,2019-10-29,1,2019-12-20,1,2,1,1.47,2019,134.434.574.525.633,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,7556.64,204.564.210.526.316,282
23,10300,2,2019-12-09,1,2019-12-23,1,4,3,3.73,2019,106.783.478.220.008,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,21,27930.74,629.860.323.350.119,650
24,10019,0,2019-10-09,4,2019-12-24,1,2,0,22.2,2019,364.034.584.840.938,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,7,826,1359653.39,471.466.126.336.249,429
25,10065,0,2019-10-16,5,2019-12-26,1,1,0,0,2019,582.455.335.745.501,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7,256,379790.01,772.837.463.556.851,847
26,10193,2,2019-11-11,1,2019-12-26,1,4,2,0,2019,112.189.162.463.108,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,6,194,249629.53,685.129.250.756.811,90
27,10195,2,2019-11-12,1,2019-12-26,1,5,3,0,2019,262.288.863.536.027,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,6,612,1072233.77,421.508.621.526.841,90
28,10290,1,2019-12-04,2,2019-12-26,0,5,1,3.23,2019,481.133.589.746.722,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,66,115845,659.279.411.764.706,611
29,10101,2,2019-10-23,4,2019-12-27,1,6,2,2.17,2019,487.806.343.686.857,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,896,1457653.81,577.142.332.071.421,258
